"ontology/deathPlace_label", "country"
"San Francisco | United States", "US"
"South Carolina | Greenville South Carolina", "US"
"Texas | Georgetown Texas", "US"
"Bavaria | Germany | Pullach", "Germany"
"Orlando Florida | Florida", "US"
"Minnesota | Minneapolis", "US"
"Tarrytown New York", "US"
"Woodstock New York", "US"
"Evanston Illinois", "US"
"Pima County Arizona | Ajo Arizona", "US"
"Germany | Munich", "Germany"
"Louisiana | Ruston Louisiana", "US"
"Germany | Munich", "Germany"
"California | San Francisco", "US"
"Austin Texas | Texas | Travis County Texas", "US"
"Louisiana | Baton Rouge Louisiana", "US"
"Amherst Massachusetts", "US"
"Toronto | Ontario", "Canada"
"Brisbane", "Australia"
"Alloa | Clackmannanshire", "UK"
"New South Wales | Sydney | Australia", "Australia"
"Fort Lauderdale Florida", "US"
"Rhinebeck (town) New York | New York", "US"
"Brewster Massachusetts", "US"
"Jamaica", "Jamaica"
"Alexandria Virginia", "US"
"Germany | Munich", "Germany"
"Vancouver | British Columbia", "Canada"
"United Kingdom | Fishguard | Wales | Pembrokeshire", "UK"
"Kraków | Poland", "Poland"
"Chatham Massachusetts | Massachusetts | United States", "US"
"Arden North Carolina", "US"
"Munich", "Germany"
"Madrid", "Spain"
"Urbana Illinois", "US"
"Lausanne | Switzerland", "Switzerland"
"South Stoke Oxfordshire", "UK"
"Colombia | Cauca Department | Buga Valle del Cauca", "Colombia"
"London | United Kingdom | England", "UK"
"Queens", "US"
"Virginia | Charlottesville Virginia | United States", "US"
"Nicaragua | Managua", "Nicaragua"
"Christchurch", "New Zealand"
"Australia | Melbourne", "Australia"
"Alexandria Virginia", "US"
"New York City | United States", "US"
"London | United Kingdom | England", "UK"
"Tel Aviv | Israel", "Israel"
"Stockholm | Sweden", "Sweden"
"Rio de Janeiro", "Brazil"
"Westport Connecticut", "US"
"Tel Aviv | Israel", "Israel"
"Houston | Texas | Harris County Texas", "US"
"Dar es Salaam | Zanzibar", "Tanzania"
"London | England", "UK"
"Virginia | Williamsburg Virginia | United States", "US"
"Nanterre | France", "France"
"Delaware | Rehoboth Beach Delaware", "US"
"New York City | New York", "US"
"London", "UK"
"Queensland | Sandgate Queensland", "Australia"
"Montreal", "Canada"
"Chile | Juan Fernández Islands", "Chile"
"Austria-Hungary | Vienna", "Austria"
"London", "UK"
"Paris | France", "France"
"Paris | France", "France"
"Los Angeles", "US"
"Finland | Russian Empire | Punkaharju", "Finland"
"Bihar | Motihari", "India"
"Oslo", "Norway"
"Italy | Lazio | Rome", "Italy"
"Hollywood", "US"
"Chile | Rancagua", "Chile"
"India | Madras Presidency", "India"
"Guadalajara | Mexico | Jalisco", "Mexico"
"Los Angeles | United States", "US"
"England", "UK"
"Connecticut | Wilton Connecticut", "US"
"Muralto | Ticino", "Switzerland"
"Massachusetts", "US"
"Washington D.C.", "US"
"West Yorkshire | Leeds", "UK"
"Canada | Sainte-Agathe-des-Monts | Quebec", "Canada"
"Kensington", "US"
"Russian Empire | Pavlovsk Saint Petersburg", "Russia"
"India | Delhi", "India"
"Kent | Pembury | England", "UK"
"São Paulo", "Brazil"
"North Carolina | Raleigh North Carolina", "US"
"New York City | New York", "US"
"Washington D.C.", "US"
"Athens | Greece", "Greece"
"Netherlands | South Holland | The Hague", "Netherlands"
"Wales | Dyfed | Capel Bangor", "UK"
"New York City | New York", "US"
"Shawnee Oklahoma", "US"
"Rochester Vermont", "US"
"Luhačovice", "Czechia"
"Guam | Tamuning Guam", "Guam"
"Oslo", "Norway"
"Norway | Oslo", "Norway"
"Aberystwyth | Wales | Ceredigion", "UK"
"Great Neck New York", "US"
"Warsaw", "Poland"
"Saint Petersburg", "Russia"
"Tokyo", "Japan"
"São Paulo (state) | Empire of Brazil | São Paulo", "Brazil"
"Windsor Ontario | Canada", "Canada"
"Damascus | Syria", "Syria"
"Italy | Rome", "Italy"
"Berlin | Germany", "Germany"
"Finland | Helsinki", "Finland"
"Perledo", "Italy"
"Bordeaux | France", "France"
"Sliema", "Malta"
"London | United Kingdom | England", "UK"
"Washington D.C.", "US"
"Italy | Milan", "Italy"
"Texas | Dallas | United States", "US"
"Somalia | Mogadishu", "Somalia"
"Moscow", "Russia"
"Philippines | Metro Manila | Quezon City", "Philippines"
"Italy | Milan", "Italy"
"New Orleans", "US"
"Bonn", "Germany"
"Kaduna", "Nigeria"
"Amsterdam | Netherlands", "Netherlands"
"Lebanon | Beirut", "Lebanon"
"New York City | New York", "US"
"Örkelljunga | Sweden", "Sweden"
"Stockholm | Sweden", "Sweden"
"Brazil | São Paulo (state) | São Paulo", "Brazil"
"Keokuk Iowa", "US"
"Dominican Republic", "Dominican Republic"
"Pennsylvania | Philadelphia", "US"
"Caracas", "Venezuela"
"Alabama | Madison County Alabama | Huntsville Alabama", "US"
"Orcas Island | Washington (state)", "US"
"France | Saint-Michel-de-Fronsac", "France"
"Pasadena California", "US"
"San Diego", "US"
"United States | New York", "US"
"Houston | Texas | United States", "US"
"Brazil | São Paulo (state) | Bananal São Paulo", "Brazil"
"Madeira | Portugal", "Portugal"
"Hong Kong", "Hong Kong"
"Oxford | Oxfordshire | England", "UK"
"Germany | Remagen", "Germany"
"Australian Capital Territory | Canberra | Mawson Australian Capital Territory", "Australia"
"Milwaukee", "US"
"Bucharest", "Romania"
"Oklahoma | Oklahoma City", "US"
"Spain | Madrid", "Spain"
"Williamsburg Virginia", "US"
"England", "UK"
"France | Chourgnac", "France"
"Syracuse New York | New York", "US"
"France | Montreuil-le-Henri", "France"
"Camaiore | Tuscany", "Italy"
"Limeil-Brévannes | France", "France"
"Alpes-Maritimes | France", "France"
"Neptune Township New Jersey", "US"
"Dublin | Republic of Ireland", "Ireland"
"Paris | French Third Republic", "France"
"New York City", "US"
"Karnataka | Bangalore", "India"
"Chicago", "US"
"Cornwall | United Kingdom | England", "UK"
"Brooklyn | New York", "US"
"Ottawa", "Canada"
"Portobello Edinburgh | Scotland", "UK"
"Netherlands | Loenen aan de Vecht", "Netherlands"
"Hungary | Budapest", "Hungary"
"Harrisburg Pennsylvania", "US"
"Moscow", "Russia"
"Paris", "France"
"Oklahoma | North Canadian River", "US"
"Russian Empire | Saint Petersburg", "Russia"
"Poland | Auschwitz concentration camp", "Poland"
"Redding Connecticut | United States", "US"
"Lisbon", "Portugal"
"Uruguay | Montevideo", "Uruguay"
"Iran | Tehran", "Iran"
"Ottoman Empire | İzmit", "Turkey"
"Azerbaijan | Karakend (Nagorno-Karabakh) | Khojavend District", "Azerbaijan"
"Pippa Passes Kentucky", "US"
"Kyrgyzstan | Osh", "Kyrgyzstan"
"Stockholm | Sweden", "Sweden"
"Tbilisi | Georgia (country)", "Georgia"
"Washington D.C. | United States", "US"
"Queensland | South Brisbane Queensland", "Australia"
"Karachi | Pakistan", "Pakistan"
"Italy | Rome", "Italy"
"Adaisseh", "Lebanon"
"Basel | Switzerland", "Switzerland"
"Seaford East Sussex", "UK"
"Somalia | Mogadishu", "Somalia"
"Philippines | Quezon City", "Philippines"
"Lisbon | Portugal", "Portugal"
"Switzerland | Zürich", "Switzerland"
"Paraguay | Asunción", "Paraguay"
"Montreal", "Canada"
"Austria-Hungary | Ivano-Frankivsk", "Ukraine"
"Indonesia | Jakarta", "Indonesia"
"Istanbul", "Turkey"
"Skopje | Republic of Macedonia", "North Macedonia"
"Paris | Île-de-France | France", "France"
"Istanbul", "Turkey"
"Kingston Ontario", "Canada"
"London | England", "UK"
"France | Sternenberg", "France"
"Montreal | Quebec", "Canada"
"Republic of Ireland | County Meath | Navan", "Ireland"
"Somalia", "Somalia"
"Italy | Rome", "Italy"
"Norway | Oslo", "Norway"
"Rome | Kingdom of Italy", "Italy"
"Venezuela | Caracas", "Venezuela"
"Bethesda Maryland", "US"
"New Jersey | United States", "US"
"Potomac Maryland", "US"
"Paarl", "South Africa"
"Hinsdale Illinois", "US"
"Syrian Desert", "Syria"
"Karachi | Pakistan", "Pakistan"
"India | Delhi", "India"
"India | Faridabad", "India"
"Azerbaijan | Lachin | Böyük Galadərəsi", "Azerbaijan"
"Kolkata", "India"
"Louisiana | Ouachita Parish Louisiana | Monroe Louisiana", "US"
"Beirut | Achrafieh", "Lebanon"
"Brooklyn | United States", "US"
"Maryland | Prince George's County Maryland | Cheverly Maryland", "US"
"Dili | East Timor", "Timor-Leste"
"Virginia | Arlington County Virginia", "US"
"India | Kochi | Cherai", "India"
"Louisiana | Avoyelles Parish Louisiana | Bunkie Louisiana", "US"
"Dublin", "Ireland"
"Havana | Cuba", "Cuba"
"Pound Ridge New York", "US"
"Amman | Jordan", "Jordan"
"Arcadia California", "US"
"Ramat HaSharon | Israel", "Israel"
"Wayland Massachusetts | Massachusetts", "US"
"Louisiana | New Orleans | United States", "US"
"Howard University Hospital", "US"
"Houston | Texas | Harris County Texas", "US"
"Louisiana | Webster Parish Louisiana | Minden Louisiana | United States", "US"
"Berlin | Germany", "Germany"
"Multnomah County Oregon | United States", "US"
"Dole Ceredigion | Wales | Ceredigion", "UK"
"Japan | Tokyo | Delhi", "Japan"
"Germany | Potsdam", "Germany"
"Brazil | Rio de Janeiro | Rio de Janeiro (state)", "Brazil"
"Chelsea London | England", "UK"
"Phoenix Arizona | Arizona", "US"
"Port Kaituma | Guyana", "Guyana"
"Seattle | Washington (state)", "US"
"London", "UK"
"Cleveland", "US"
"New York City", "US"
"Marylebone", "UK"
"Texas | San Antonio", "US"
"East Village Manhattan | New York City", "US"
"Chișinău", "Moldova"
"Woodland Hills Los Angeles", "US"
"Hungary | Budapest", "Hungary"
"Los Angeles", "US"
"Madison County Mississippi | Ridgeland Mississippi | Mississippi", "US"
"Philippines | Quezon City", "Philippines"
"Texas | Smith County Texas | Tyler Texas", "US"
"Washington D.C.", "US"
"San Francisco | United States", "US"
"Queensland | Brisbane", "Australia"
"Silver Spring Maryland | United States", "US"
"Matamoros Tamaulipas | Mexico", "Mexico"
"Macuto Vargas", "Venezuela"
"Bogotá | United Provinces of New Granada | Free and Independent State of Cundinamarca", "Colombia"
"Brazil | Rio de Janeiro | Rio de Janeiro (state)", "Brazil"
"Turin", "Italy"
"Washington D.C.", "US"
"Los Angeles", "US"
"California | Palm Springs California", "US"
"Minas Gerais | First Brazilian Republic | Poços de Caldas", "Brazil"
"Yvelines | Marly-le-Roi | France", "France"
"Toronto", "Canada"
"Toronto", "Canada"
"Haverfordwest | Wales | Pembrokeshire", "UK"
"Cairo | Egypt", "Egypt"
"Paris | France", "France"
"California | Los Angeles | United States", "US"
"Colombia | Antioquia Department | Medellín", "Colombia"
"Antalya | Turkey", "Turkey"
"Russian Empire | Governorate (Russia)", "Russia"
"Italy | Milan", "Italy"
"West Yorkshire | Leeds | England", "UK"
"McLean Virginia", "US"
"Atlanta | Georgia (U.S. state)", "US"
"Belfast | Northern Ireland", "UK"
"Queensland | Brisbane | Wynnum Queensland | Australia", "Australia"
"Texas", "US"
"Manhattan | United States | New York", "US"
"United States", "US"
"New Zealand | Auckland", "New Zealand"
"Greece", "Greece"
"Louisiana | Shreveport Louisiana | Caddo Parish Louisiana | United States", "US"
"Bantam Connecticut", "US"
"Blackpool", "UK"
"London | Knightsbridge", "UK"
"New York City | United States | New York", "US"
"Uruapan", "Mexico"
"Chișinău", "Moldova"
"Italy | Rome", "Italy"
"Athens | Greece", "Greece"
"Mexico City | Mexico", "Mexico"
"California | Long Beach California", "US"
"Bhubaneswar", "India"
"Brazil | Rio de Janeiro", "Brazil"
"Hollywood", "US"
"Maryland | United States | Baltimore", "US"
"California | Los Angeles", "US"
"Năpădeni", "Romania"
"Louisiana | Natchitoches Louisiana", "US"
"Visby | Sweden", "Sweden"
"Switzerland | Langnau im Emmental", "Switzerland"
"The Bronx", "US"
"Toronto | Canada | Ontario", "Canada"
"Berlin | East Germany", "Germany"
"New York City", "US"
"New York | Kingston New York", "US"
"Ankara | Turkey", "Turkey"
"London | England", "UK"
"Tokyo", "Japan"
"Istanbul | Turkey", "Turkey"
"Victoria (Australia) | Australia | Murrindindi Victoria", "Australia"
"South Carolina", "US"
"Paris | France", "France"
"Germany | Hamburg", "Germany"
"Los Angeles | United States", "US"
"Berlin | Germany", "Germany"
"Tyrol (state) | Kufstein | County of Tyrol | Austria", "Austria"
"Dielsdorf", "Switzerland"
"India | Delhi", "India"
"Kolkata | Bengal Presidency | Presidencies and provinces of British India", "India"
"Ridgewood New Jersey", "US"
"Louisiana | Shreveport Louisiana | Caddo Parish Louisiana | United States", "US"
"London | England", "UK"
"Omaha Nebraska", "US"
"New York City", "US"
"United Kingdom | Chorlton-on-Medlock | England", "UK"
"California | Monterey California", "US"
"Netherlands | Rotterdam", "Netherlands"
"Canada | Montreal", "Canada"
"Johannesburg | Melville Gauteng | South Africa", "South Africa"
"Regensburg", "Germany"
"Berlin | Germany", "Germany"
"Alexandria Louisiana | Louisiana | Rapides Parish Louisiana", "US"
"Athens | Greece", "Greece"
"Germany | Hamburg", "Germany"
"Équemauville | France", "France"
"New York City", "US"
"New York City", "US"
"South Carolina", "US"
"California | Daly City California | United States", "US"
"Sheffield Massachusetts | Massachusetts | United States", "US"
"Cairo | Egypt | Rabi'a al-'Adawiyya", "Egypt"
"Baghdad | Iraq", "Iraq"
"Romania | Bucharest", "Romania"
"Pakistan | Hyderabad Sindh", "Pakistan"
"Kraków", "Poland"
"Mexico City", "Mexico"
"Spain | Madrid", "Spain"
"Texas | Plano Texas | United States", "US"
"Belfast | Northern Ireland", "UK"
"Louisiana | Baton Rouge Louisiana", "US"
"London", "UK"
"Barcelona | Spain", "Spain"
"Barcelona | Spain", "Spain"
"Fergus Ontario | Canada", "Canada"
"Norway | Oslo", "Norway"
